start,end,span_days,net_target_change_pp,decreases,files
2016-06-13,2016-06-21,8.0,-0.014799833297729714,3,hmi.m_45s.2016.06.13_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.06.15_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.06.16_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.06.19_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.06.21_00_01_30_TAI.magnetogram_processed.npy
2016-06-15,2016-06-25,10.0,-0.18204450607299805,4,hmi.m_45s.2016.06.15_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.06.16_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.06.19_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.06.21_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.06.25_00_01_30_TAI.magnetogram_processed.npy
2016-06-19,2016-06-29,10.0,-0.1344621181488037,2,hmi.m_45s.2016.06.19_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.06.21_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.06.25_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.06.28_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.06.29_00_01_30_TAI.magnetogram_processed.npy
2016-06-28,2016-07-07,9.0,0.025576353073120117,1,hmi.m_45s.2016.06.28_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.06.29_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.07.05_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.07.06_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.07.07_00_01_30_TAI.magnetogram_processed.npy
2016-07-17,2016-07-24,7.0,-0.27623772621154785,3,hmi.m_45s.2016.07.17_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.07.18_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.07.21_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.07.22_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.07.24_00_01_30_TAI.magnetogram_processed.npy
2016-07-18,2016-07-27,9.0,-0.28370022773742676,4,hmi.m_45s.2016.07.18_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.07.21_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.07.22_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.07.24_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.07.27_00_01_30_TAI.magnetogram_processed.npy
2016-07-21,2016-07-29,8.0,-0.11746883392333984,3,hmi.m_45s.2016.07.21_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.07.22_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.07.24_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.07.27_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.07.29_00_01_30_TAI.magnetogram_processed.npy
2016-07-22,2016-07-30,8.0,-0.03262758255004883,2,hmi.m_45s.2016.07.22_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.07.24_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.07.27_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.07.29_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.07.30_00_01_30_TAI.magnetogram_processed.npy
2016-07-24,2016-08-01,8.0,0.046885013580322266,2,hmi.m_45s.2016.07.24_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.07.27_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.07.29_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.07.30_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.08.01_00_01_30_TAI.magnetogram_processed.npy
2016-07-27,2016-08-02,6.0,0.039887428283691406,2,hmi.m_45s.2016.07.27_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.07.29_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.07.30_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.08.01_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.08.02_00_01_30_TAI.magnetogram_processed.npy
