catalog_id,begin_utc,peak_utc,end_hhmm_reported,goes_class,satellite,noaa,source_file,source_line_number,raw_line
20240509_1140,2024-05-09T23:44:00Z,2024-05-09T23:51:00Z,2355,M1.5,G16,13664.0,reports/phase2_historical_case/sources/20240509events.txt,185,1140 +     2344   2351      2355  G16  5   XRA  1-8A      M1.5    3.5E-03   3664
20240510_1160,2024-05-10T00:10:00Z,2024-05-10T00:13:00Z,0022,M1.3,G16,13664.0,reports/phase2_historical_case/sources/20240510events.txt,21,1160 +     0010   0013      0022  G16  5   XRA  1-8A      M1.3    9.6E-03   3664
20240510_1260,2024-05-10T03:15:00Z,2024-05-10T03:29:00Z,0340,M1.4,G16,13664.0,reports/phase2_historical_case/sources/20240510events.txt,53,1260 +     0315   0329      0340  G16  5   XRA  1-8A      M1.4    4.7E-03   3664
20240510_1310,2024-05-10T06:27:00Z,2024-05-10T06:54:00Z,0706,X3.9,G16,13664.0,reports/phase2_historical_case/sources/20240510events.txt,75,1310 +     0627   0654      0706  G16  5   XRA  1-8A      X3.9    4.4E-01   3664
20240510_1380,2024-05-10T10:10:00Z,2024-05-10T10:14:00Z,1019,M2.2,G16,13664.0,reports/phase2_historical_case/sources/20240510events.txt,97,1380 +     1010   1014      1019  G16  5   XRA  1-8A      M2.2    1.0E-02   3664
20240510_1470,2024-05-10T13:58:00Z,2024-05-10T14:11:00Z,1423,M5.9,G16,13664.0,reports/phase2_historical_case/sources/20240510events.txt,122,1470 +     1358   1411      1423  G16  5   XRA  1-8A      M5.9    5.6E-02   3664
20240510_1570,2024-05-10T18:26:00Z,2024-05-10T18:32:00Z,1838,M1.1,G16,13664.0,reports/phase2_historical_case/sources/20240510events.txt,142,1570       1826   1832      1838  G16  5   XRA  1-8A      M1.1    3.3E-03   3664
20240510_1600,2024-05-10T18:38:00Z,2024-05-10T18:48:00Z,1857,M1.7,G16,13664.0,reports/phase2_historical_case/sources/20240510events.txt,144,1600       1838   1848      1857  G16  5   XRA  1-8A      M1.7    2.1E-02   3664
20240510_1580,2024-05-10T18:57:00Z,2024-05-10T19:05:00Z,1910,M2.0,G16,13664.0,reports/phase2_historical_case/sources/20240510events.txt,151,1580       1857   1905      1910  G16  5   XRA  1-8A      M2.0    4.6E-03   3664
20240510_1560,2024-05-10T19:35:00Z,2024-05-10T19:53:00Z,1956,M1.1,G16,13664.0,reports/phase2_historical_case/sources/20240510events.txt,155,1560 +     1935   1953      1956  G16  5   XRA  1-8A      M1.1    1.6E-02   3664
20240510_1590,2024-05-10T19:56:00Z,2024-05-10T20:03:00Z,2018,M1.9,G16,13664.0,reports/phase2_historical_case/sources/20240510events.txt,157,1590       1956   2003      2018  G16  5   XRA  1-8A      M1.9    2.2E-02   3664
20240510_1640,2024-05-10T20:59:00Z,2024-05-10T21:08:00Z,2112,M3.8,G16,13664.0,reports/phase2_historical_case/sources/20240510events.txt,163,1640 +     2059   2108      2112  G16  5   XRA  1-8A      M3.8    1.8E-02   3664
20240511_1680,2024-05-11T01:10:00Z,2024-05-11T01:23:00Z,0139,X5.8,G16,13664.0,reports/phase2_historical_case/sources/20240511events.txt,19,1680 +     0110   0123      0139  G16  5   XRA  1-8A      X5.8    6.4E-01   3664
20240511_1840,2024-05-11T10:03:00Z,2024-05-11T10:18:00Z,1034,M3.1,G16,13664.0,reports/phase2_historical_case/sources/20240511events.txt,72,1840 +     1003   1018      1034  G16  5   XRA  1-8A      M3.1    4.6E-02   3664
20240511_1850,2024-05-11T10:53:00Z,2024-05-11T10:56:00Z,1100,M1.6,G16,13664.0,reports/phase2_historical_case/sources/20240511events.txt,76,1850 +     1053   1056      1100  G16  5   XRA  1-8A      M1.6    6.2E-03   3664
20240511_1860,2024-05-11T11:15:00Z,2024-05-11T11:44:00Z,1205,X1.5,G16,13664.0,reports/phase2_historical_case/sources/20240511events.txt,79,1860 +     1115   1144      1205  G16  5   XRA  1-8A      X1.5    2.6E-01   3664
20240511_1890,2024-05-11T13:45:00Z,2024-05-11T13:49:00Z,1408,M1.7,G16,13664.0,reports/phase2_historical_case/sources/20240511events.txt,89,1890 +     1345   1349      1408  G16  5   XRA  1-8A      M1.7    2.1E-02   3664
20240511_1900,2024-05-11T14:46:00Z,2024-05-11T15:25:00Z,1552,M8.8,G16,13664.0,reports/phase2_historical_case/sources/20240511events.txt,94,1900 +     1446   1525      1552  G16  5   XRA  1-8A      M8.8    2.0E-01   3664
20240511_2000,2024-05-11T20:32:00Z,2024-05-11T20:41:00Z,2047,M1.2,G16,13664.0,reports/phase2_historical_case/sources/20240511events.txt,129,2000 +     2032   2041      2047  G16  5   XRA  1-8A      M1.2    8.0E-03   3664
20240514_2870,2024-05-14T02:03:00Z,2024-05-14T02:09:00Z,0219,X1.7,G16,13664.0,reports/phase2_historical_case/sources/20240514events.txt,20,2870 +     0203   0209      0219  G16  5   XRA  1-8A      X1.7    1.1E-01   3664
20240514_2970,2024-05-14T12:40:00Z,2024-05-14T12:55:00Z,1305,X1.2,G16,13664.0,reports/phase2_historical_case/sources/20240514events.txt,61,2970 +     1240   1255      1305  G16  5   XRA  1-8A      X1.2    1.0E-01   3664
20240514_3010,2024-05-14T16:46:00Z,2024-05-14T16:51:00Z,1702,X8.7,G16,13664.0,reports/phase2_historical_case/sources/20240514events.txt,79,3010 +     1646   1651      1702  G16  5   XRA  1-8A      X8.7    5.6E-01   3664
20240514_3040,2024-05-14T17:25:00Z,2024-05-14T17:38:00Z,1818,M4.4,G16,13682.0,reports/phase2_historical_case/sources/20240514events.txt,98,3040 +     1725   1738      1818  G16  5   XRA  1-8A      M4.4    1.2E-01   3682
20241001_4470,2024-10-01T14:41:00Z,2024-10-01T14:52:00Z,1456,M1.0,G16,13843.0,reports/phase2_historical_case/sources/20241001events.txt,51,4470 +     1441   1452      1456  G16  5   XRA  1-8A      M1.0    8.6E-03   3843
20241001_4510,2024-10-01T18:52:00Z,2024-10-01T19:17:00Z,1937,M1.5,G16,13842.0,reports/phase2_historical_case/sources/20241001events.txt,66,4510 +     1852   1917      1937  G16  5   XRA  1-8A      M1.5    3.3E-02   3842
20241001_4540,2024-10-01T21:58:00Z,2024-10-01T22:20:00Z,2229,X7.1,G16,13842.0,reports/phase2_historical_case/sources/20241001events.txt,78,4540 +     2158   2220      2229  G16  5   XRA  1-8A      X7.1    5.2E-01   3842
20241003_5130,2024-10-03T02:23:00Z,2024-10-03T02:34:00Z,0248,M1.1,G16,13841.0,reports/phase2_historical_case/sources/20241003events.txt,22,5130 +     0223   0234      0248  G16  5   XRA  1-8A      M1.1    4.6E-03   3841
20241003_5140,2024-10-03T03:22:00Z,2024-10-03T03:41:00Z,0359,M1.5,G16,13842.0,reports/phase2_historical_case/sources/20241003events.txt,27,5140 +     0322   0341      0359  G16  5   XRA  1-8A      M1.5    2.8E-02   3842
20241003_5450,2024-10-03T08:10:00Z,2024-10-03T08:28:00Z,0830,M1.5,G16,13841.0,reports/phase2_historical_case/sources/20241003events.txt,70,5450       0810   0828      0830  G16  5   XRA  1-8A      M1.5    7.2E-03   3841
20241003_5400,2024-10-03T08:30:00Z,2024-10-03T08:36:00Z,0841,M1.5,G16,13842.0,reports/phase2_historical_case/sources/20241003events.txt,79,5400 +     0830   0836      0841  G16  5   XRA  1-8A      M1.5    1.1E-02   3842
20241003_5530,2024-10-03T12:08:00Z,2024-10-03T12:18:00Z,1227,X9.0,G16,13842.0,reports/phase2_historical_case/sources/20241003events.txt,96,5530 +     1208   1218      1227  G16  5   XRA  1-8A      X9.0    4.6E-01   3842
20241003_5550,2024-10-03T17:18:00Z,2024-10-03T17:21:00Z,1727,M1.5,G16,13844.0,reports/phase2_historical_case/sources/20241003events.txt,118,5550       1718   1721      1727  G16  5   XRA  1-8A      M1.5    8.4E-03   3844
20241003_5610,2024-10-03T20:09:00Z,2024-10-03T20:28:00Z,2040,M6.7,G16,13843.0,reports/phase2_historical_case/sources/20241003events.txt,136,5610       2009   2028      2040  G16  5   XRA  1-8A      M6.7    7.8E-02   3843
20241003_5640,2024-10-03T21:39:00Z,2024-10-03T21:41:00Z,2148,M2.3,G16,13844.0,reports/phase2_historical_case/sources/20241003events.txt,145,5640       2139   2141      2148  G16  5   XRA  1-8A      M2.3    9.7E-03   3844
20241003_5670,2024-10-03T23:25:00Z,2024-10-03T23:28:00Z,2330,M1.1,G16,13842.0,reports/phase2_historical_case/sources/20241003events.txt,154,5670       2325   2328      2330  G16  5   XRA  1-8A      M1.1    3.3E-03   3842
